"id_str","time_UTC","time_East_US","local_hour","afinn_score","bing_positive","bing_negative","bing_nett"
702268900562448384,2016-02-23 23:08:48,2016-02-23 18:08:48,18,-0.333333333333333,0,1,-1
702270277560852480,2016-02-23 23:14:16,2016-02-23 18:14:16,18,2,1,0,1
702311041762332672,2016-02-24 01:56:15,2016-02-23 20:56:15,20,2,1,0,1
702367612232142848,2016-02-24 05:41:02,2016-02-24 00:41:02,0,2,3,0,3
702378896621236224,2016-02-24 06:25:53,2016-02-24 01:25:53,1,2,1,0,1
702560558269202432,2016-02-24 18:27:44,2016-02-24 13:27:44,13,-2.5,1,1,0
702561529447763968,2016-02-24 18:31:36,2016-02-24 13:31:36,13,3,1,0,1
702706412980453376,2016-02-25 04:07:19,2016-02-24 23:07:19,23,2.5,2,0,2
702891487776866304,2016-02-25 16:22:44,2016-02-25 11:22:44,11,2.5,2,0,2
702894623761498112,2016-02-25 16:35:12,2016-02-25 11:35:12,11,-3,0,1,-1
702896239520645120,2016-02-25 16:41:37,2016-02-25 11:41:37,11,3,1,0,1
702897056181055488,2016-02-25 16:44:52,2016-02-25 11:44:52,11,4,1,1,0
702911293813080064,2016-02-25 17:41:26,2016-02-25 12:41:26,12,1,NA,NA,NA
702913398154125312,2016-02-25 17:49:48,2016-02-25 12:49:48,12,2,1,0,1
702930575083106304,2016-02-25 18:58:03,2016-02-25 13:58:03,13,1.66666666666667,2,1,1
702980499388669952,2016-02-25 22:16:26,2016-02-25 17:16:26,17,2,1,0,1
703092155577831424,2016-02-26 05:40:07,2016-02-26 00:40:07,0,-0.666666666666667,1,2,-1
703095453496188928,2016-02-26 05:53:13,2016-02-26 00:53:13,0,2.5,2,0,2
703109705900535808,2016-02-26 06:49:51,2016-02-26 01:49:51,1,2,1,0,1
703110934869336064,2016-02-26 06:54:44,2016-02-26 01:54:44,1,2.66666666666667,4,0,4
703111149764489216,2016-02-26 06:55:35,2016-02-26 01:55:35,1,2,2,0,2
703251956198875136,2016-02-26 16:15:06,2016-02-26 11:15:06,11,0,1,2,-1
703252241487036416,2016-02-26 16:16:14,2016-02-26 11:16:14,11,2,1,0,1
703252552641478656,2016-02-26 16:17:29,2016-02-26 11:17:29,11,3,4,0,4
703257866820415488,2016-02-26 16:38:36,2016-02-26 11:38:36,11,-1.5,0,3,-3
703321647701307392,2016-02-26 20:52:02,2016-02-26 15:52:02,15,2,1,0,1
703325481265815552,2016-02-26 21:07:16,2016-02-26 16:07:16,16,2,2,0,2
703332298821775360,2016-02-26 21:34:21,2016-02-26 16:34:21,16,2.33333333333333,2,0,2
703444081251254272,2016-02-27 04:58:32,2016-02-26 23:58:32,23,2.5,1,0,1
703446072216014848,2016-02-27 05:06:27,2016-02-27 00:06:27,0,2,1,0,1
703711236865720320,2016-02-27 22:40:07,2016-02-27 17:40:07,17,2.5,3,0,3
703715567765737472,2016-02-27 22:57:20,2016-02-27 17:57:20,17,2,2,0,2
703764924288409600,2016-02-28 02:13:27,2016-02-27 21:13:27,21,2,3,0,3
703777173296046080,2016-02-28 03:02:08,2016-02-27 22:02:08,22,-1,0,1,-1
703996959544250368,2016-02-28 17:35:29,2016-02-28 12:35:29,12,NA,0,1,-1
704000708236996608,2016-02-28 17:50:23,2016-02-28 12:50:23,12,-1,NA,NA,NA
704014599708876800,2016-02-28 18:45:35,2016-02-28 13:45:35,13,-1,NA,NA,NA
704019808363352064,2016-02-28 19:06:17,2016-02-28 14:06:17,14,-2.66666666666667,0,4,-4
704023054813433856,2016-02-28 19:19:11,2016-02-28 14:19:11,14,2,1,1,0
704026393865265152,2016-02-28 19:32:27,2016-02-28 14:32:27,14,-3,NA,NA,NA
704062727082385408,2016-02-28 21:56:49,2016-02-28 16:56:49,16,1,NA,NA,NA
704064261413273600,2016-02-28 22:02:55,2016-02-28 17:02:55,17,2,1,0,1
704100078743625728,2016-02-29 00:25:14,2016-02-28 19:25:14,19,2,2,0,2
704111284095225856,2016-02-29 01:09:46,2016-02-28 20:09:46,20,2,1,0,1
704285794643668992,2016-02-29 12:43:13,2016-02-29 07:43:13,7,2,1,0,1
704312346706124800,2016-02-29 14:28:43,2016-02-29 09:28:43,9,1,NA,NA,NA
704324651384762368,2016-02-29 15:17:37,2016-02-29 10:17:37,10,NA,1,1,0
704332561296855040,2016-02-29 15:49:03,2016-02-29 10:49:03,10,NA,1,0,1
704342660933427200,2016-02-29 16:29:11,2016-02-29 11:29:11,11,1.08604206500956,1011,1402,-391
783484550861037568,2016-10-05 01:50:48,2016-10-04 21:50:48,21,2,2,0,2
783485391084978176,2016-10-05 01:54:08,2016-10-04 21:54:08,21,NA,1,0,1
783488370110451712,2016-10-05 02:05:58,2016-10-04 22:05:58,22,-2,0,1,-1
783489376651137024,2016-10-05 02:09:58,2016-10-04 22:09:58,22,-1,NA,NA,NA
783489985718517760,2016-10-05 02:12:23,2016-10-04 22:12:23,22,-2,1,1,0
783490308818337792,2016-10-05 02:13:40,2016-10-04 22:13:40,22,-2,0,1,-1
783490731964981248,2016-10-05 02:15:21,2016-10-04 22:15:21,22,NA,1,0,1
783491875885813760,2016-10-05 02:19:54,2016-10-04 22:19:54,22,-2,0,1,-1
783492506319069184,2016-10-05 02:22:24,2016-10-04 22:22:24,22,-2,0,2,-2
783493582803972096,2016-10-05 02:26:41,2016-10-04 22:26:41,22,0.333333333333333,1,1,0
783738595987169280,2016-10-05 18:40:17,2016-10-05 14:40:17,14,2.5,2,0,2
783741835420110848,2016-10-05 18:53:09,2016-10-05 14:53:09,14,1.5,1,0,1
783776670339641344,2016-10-05 21:11:34,2016-10-05 17:11:34,17,2,2,0,2
783778741646270464,2016-10-05 21:19:48,2016-10-05 17:19:48,17,0,2,1,1
783779512425119744,2016-10-05 21:22:52,2016-10-05 17:22:52,17,1.4,3,2,1
783789606663778304,2016-10-05 22:02:58,2016-10-05 18:02:58,18,NA,1,0,1
783803924050350080,2016-10-05 22:59:52,2016-10-05 18:59:52,18,2,1,0,1
783808918824681472,2016-10-05 23:19:43,2016-10-05 19:19:43,19,2,1,0,1
783838014363623424,2016-10-06 01:15:20,2016-10-05 21:15:20,21,3,2,0,2
783842408949841920,2016-10-06 01:32:48,2016-10-05 21:32:48,21,2.5,2,0,2
783847514088824832,2016-10-06 01:53:05,2016-10-05 21:53:05,21,2,1,0,1
783880036172623872,2016-10-06 04:02:19,2016-10-06 00:02:19,0,1,NA,NA,NA
783881566510546944,2016-10-06 04:08:23,2016-10-06 00:08:23,0,2,2,0,2
783885674575491072,2016-10-06 04:24:43,2016-10-06 00:24:43,0,1.5,NA,NA,NA
784132532073881600,2016-10-06 20:45:38,2016-10-06 16:45:38,16,NA,1,0,1
784133078969090048,2016-10-06 20:47:49,2016-10-06 16:47:49,16,NA,1,0,1
784150639689490432,2016-10-06 21:57:35,2016-10-06 17:57:35,17,2,1,0,1
784216198259085312,2016-10-07 02:18:06,2016-10-06 22:18:06,22,NA,1,0,1
785106800572063744,2016-10-09 13:17:02,2016-10-09 09:17:02,9,2,0,1,-1
785148463868735488,2016-10-09 16:02:35,2016-10-09 12:02:35,12,NA,2,0,2
785167148150820864,2016-10-09 17:16:50,2016-10-09 13:16:50,13,0.333333333333333,NA,NA,NA
785245066881216512,2016-10-09 22:26:27,2016-10-09 18:26:27,18,-2,0,3,-3
785290517835841536,2016-10-10 01:27:04,2016-10-09 21:27:04,21,3,2,1,1
785298212513021952,2016-10-10 01:57:38,2016-10-09 21:57:38,21,0,NA,NA,NA
785306782033907712,2016-10-10 02:31:41,2016-10-09 22:31:41,22,2,1,1,0
785323809062653952,2016-10-10 03:39:21,2016-10-09 23:39:21,23,2,1,0,1
785559022082658304,2016-10-10 19:14:00,2016-10-10 15:14:00,15,-2.66666666666667,1,3,-2
785561269571026944,2016-10-10 19:22:56,2016-10-10 15:22:56,15,2.5,2,0,2
785608815962099712,2016-10-10 22:31:52,2016-10-10 18:31:52,18,-3,0,1,-1
785654535234531328,2016-10-11 01:33:32,2016-10-10 21:33:32,21,2,2,0,2
785816454042124288,2016-10-11 12:16:57,2016-10-11 08:16:57,8,1.66666666666667,3,1,2
785842546878578688,2016-10-11 14:00:38,2016-10-11 10:00:38,10,1,1,0,1
